,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kiunga,92,PG,1549326617,100,-6.12,141.3,74.14,2.95
1,Arys,90,KZ,1549324800,100,42.43,68.8,30.2,2.24
2,Klaksvik,0,FO,1549324200,79,62.23,-6.59,28.4,1.12
3,Punta Arenas,0,CL,1549324800,43,-53.16,-70.91,69.8,11.41
4,Ust-Ilimsk,0,RU,1549326619,0,57.96,102.73,-46.51,2.62
5,Castro,0,CL,1549324800,68,-42.48,-73.76,66.2,13.87
6,Ribeira Grande,64,PT,1549326620,96,38.52,-28.7,62.71,14.03
7,Camocim,12,BR,1549326620,91,-2.9,-40.84,77.65,6.2
8,Bredasdorp,0,ZA,1549324800,93,-34.53,20.04,59,2.24
9,New Norfolk,75,AU,1549323000,87,-42.78,147.06,55.4,10.29
10,Jamestown,12,AU,1549326621,67,-33.21,138.6,75.31,12.46
11,Chokurdakh,20,RU,1549326621,78,70.62,147.9,-38.1,11.12
12,Severo-Kurilsk,76,RU,1549326621,100,50.68,156.12,26.62,15.03
13,Tiksi,68,RU,1549326622,41,71.64,128.87,-26.76,6.87
14,Bluff,100,AU,1549326622,67,-23.58,149.07,78.05,17.49
15,Teya,40,MX,1549323660,43,21.05,-89.07,87.8,17.22
16,Vardo,1,US,1549324500,58,39.62,-77.74,53.6,4.7
17,Balakhta,20,RU,1549326623,65,55.38,91.62,-35.31,2.73
18,Barrow,0,AR,1549326624,46,-38.31,-60.23,72.65,9.22
19,Hobart,75,AU,1549323000,87,-42.88,147.33,55.4,10.29
20,Ushuaia,0,AR,1549324800,31,-54.81,-68.31,73.4,5.82
21,Coihaique,40,CL,1549324800,34,-45.58,-72.07,82.4,2.24
22,Albany,40,US,1549324680,51,42.65,-73.75,51.08,6.93
23,Buraydah,40,SA,1549321200,50,26.33,43.97,53.6,9.17
24,Toamasina,40,MG,1549324800,94,-18.17,49.38,75.2,2.73
25,Mataura,36,NZ,1549326626,86,-46.19,168.86,59.83,16.04
26,Rikitea,8,PF,1549326626,100,-23.12,-134.97,80.84,4.97
27,Sao Filipe,92,CV,1549326627,98,14.9,-24.5,70.63,14.81
28,Caucaia,75,BR,1549324800,83,-3.73,-38.66,82.4,4.7
29,Marica,90,BR,1549324800,88,-22.92,-42.82,77,2.24
30,Krasnopillya,92,UA,1549326628,96,50.77,35.26,33.37,7.09
31,Busselton,0,AU,1549326628,98,-33.64,115.35,69.01,17.49
32,Klaeng,48,TH,1549326628,100,12.78,101.65,81.43,8.55
33,Emerald,40,AU,1549321200,54,-23.53,148.16,82.4,23.04
34,Mar del Plata,0,AR,1549326629,43,-46.43,-67.52,76.34,5.97
35,Vaini,0,IN,1549324800,72,15.34,74.49,60.8,3.4
36,Shingu,40,JP,1549324800,52,33.72,135.99,44.6,4.7
37,Kapaa,75,US,1549324560,66,22.08,-159.32,78.08,16.11
38,Hilo,90,US,1549324380,68,19.71,-155.08,75.92,13.87
39,Victoria,75,BN,1549323000,94,5.28,115.24,78.8,2.17
40,Baykit,24,RU,1549326632,0,61.68,96.39,-38.37,3.18
41,Provideniya,90,RU,1549324800,68,64.42,-173.23,30.2,15.66
42,Fortuna,0,ES,1549324800,49,38.18,-1.13,46.4,9.17
43,Alice Springs,0,AU,1549323000,25,-23.7,133.88,87.8,14.99
44,Bethel,90,US,1549324560,92,60.79,-161.76,37.04,20.8
45,Vesyegonsk,92,RU,1549326634,100,58.67,37.27,37.51,15.7
46,Upernavik,0,GL,1549326634,100,72.79,-56.15,-0.93,6.98
47,Puerto Ayora,20,EC,1549324800,74,-0.74,-90.35,82.4,10.29
48,Arraial do Cabo,92,BR,1549326635,86,-22.97,-42.02,77.74,10.11
49,Rexburg,90,US,1549324800,69,43.82,-111.79,37.94,10.29
50,Moree,44,AU,1549321200,39,-29.46,149.84,82.4,12.75
51,Yumen,20,CN,1549326636,69,40.29,97.04,14.69,11.79
52,Port Elizabeth,1,US,1549324560,85,39.31,-74.98,50,3.18
53,Ancud,0,CL,1549324800,68,-41.87,-73.83,66.2,13.87
54,Kidal,12,ML,1549326637,13,18.44,1.41,54.61,11.79
55,Marienburg,90,DE,1549326000,74,52.12,9.98,39.2,9.17
56,Igra,8,RU,1549326638,76,57.55,53.1,-11.46,11.01
57,Ola,76,RU,1549326638,100,59.58,151.3,-0.3,15.48
58,Tasiilaq,88,GL,1549324200,53,65.61,-37.64,24.8,29.97
59,Port Hedland,88,AU,1549323000,74,-20.31,118.58,86,13.87
60,Margate,75,AU,1549323000,87,-43.03,147.26,55.4,10.29
61,Yellowknife,20,CA,1549321200,74,62.45,-114.38,-23.81,9.17
62,Thompson,20,CA,1549321200,62,55.74,-97.86,-13.01,6.93
63,Butaritari,80,KI,1549326640,100,3.07,172.79,83.9,20.51
64,Rawson,0,AR,1549326640,21,-43.3,-65.11,85.39,19.95
65,Methoni,24,GR,1549324200,39,36.82,21.7,64.4,16.11
66,Hermanus,0,ZA,1549326641,96,-34.42,19.24,52.22,3.4
67,Saint George,40,GR,1549324200,87,39.45,22.34,51.8,9.17
68,Derzhavinsk,80,KZ,1549326641,81,51.1,66.31,3.44,11.23
69,Hualmay,20,PE,1549326642,82,-11.1,-77.61,73.64,4.97
70,Suntar,36,RU,1549326642,59,62.16,117.65,-20.55,6.64
71,Bowen,90,AU,1549321500,100,-20.01,148.25,75.2,10.29
